-BEGIN HEADER-,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,
Dates (month/day/year): 01/01/2017 through 12/20/2023 ,,,,,,,,,
Location: Latitude  27.0062   Longitude 88.682 ,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1212.3 meters,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,
Parameter(s): ,,,,,,,,,
T2M           MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) ,,,,,,,,,
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) ,,,,,,,,,
TS            MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,,
-END HEADER-,,,,,,,,,
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2017,1,1,12.72,7.1,9.9,10.4,8.12,17.43,9.3
2017,1,2,12.98,5.88,9.44,10.38,9.3,18.56,9.26
2017,1,3,13.09,5.12,9.11,10.82,9.7,18.99,9.29
2017,1,4,12.55,5.02,8.79,11.01,9.14,18.11,8.96
2017,1,5,11.63,4.26,7.95,9.12,9.15,17.3,8.15
2017,1,6,11.46,3.69,7.58,8.68,8.96,16.87,7.91
2017,1,7,11.88,3.37,7.63,8.8,9.87,17.89,8.02
2017,1,8,11.58,2.76,7.17,8.65,10.03,17.63,7.6
2017,1,9,11.29,2.73,7.01,8.51,9.13,16.94,7.81
2017,1,10,10.63,4.92,7.77,8.58,8.04,15.41,7.37
2017,1,11,10.09,3.9,7,7.69,9.33,15.39,6.05
2017,1,12,9.35,-0.79,4.28,6.42,9.88,15.48,5.6
2017,1,13,9.39,-4.02,2.69,5.81,10.52,16.05,5.54
2017,1,14,9.8,-3.21,3.29,5.89,9,15.52,6.52
2017,1,15,11.69,-1.72,4.99,7.36,9.84,18.05,8.2
2017,1,16,11.91,-0.5,5.71,7.88,9.55,18.04,8.48
2017,1,17,11.7,0.29,5.99,7.98,9.86,17.65,7.8
2017,1,18,12.73,1.11,6.92,8.65,8.88,18.27,9.4
2017,1,19,13.5,1.68,7.58,9.43,9.59,19.48,9.88
2017,1,20,13.41,1.36,7.39,9.55,10.45,19.99,9.53
2017,1,21,13.87,2.51,8.19,9.96,10.05,19.99,9.94
2017,1,22,15.12,2.41,8.76,10.66,10.35,21.65,11.29
2017,1,23,14.13,0.87,7.5,9.97,9.32,19.99,10.67
