YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
2017,1,1,88.53,1.58,2.28,0.48,1.79,86.19,2.07,3.23,0.64,2.59,86.56
2017,1,2,88.53,1.7,2.36,0.4,1.96,92.19,2.19,3.54,0.48,3.05,91.5
2017,1,3,88.43,1.89,3.02,0.76,2.26,130,2.52,3.35,1.05,2.3,130.5
2017,1,4,88.3,1.91,2.88,0.63,2.24,113.81,2.66,3.65,0.94,2.72,114.5
2017,1,5,88.25,1.73,2.65,0.68,1.97,127.81,2.33,3.05,1.02,2.04,128.62
2017,1,6,88.22,1.75,3.13,0.35,2.78,108.12,2.17,3.38,0.46,2.91,137.88
2017,1,7,88.09,1.73,3.2,0.44,2.77,100.25,2.18,3.43,0.5,2.93,101.12
2017,1,8,88.13,1.83,3.16,0.39,2.76,103.12,2.41,3.64,0.69,2.95,105.06
2017,1,9,88.1,1.79,3.09,0.09,2.99,118.06,2.27,3.4,0.16,3.25,118
2017,1,10,88.08,1.7,2.39,0.41,1.98,125.88,2.4,3.66,0.86,2.8,126.94
2017,1,11,88.09,1.72,3.48,0.65,2.84,145.81,2.42,4.53,0.86,3.66,175.06
2017,1,12,88.11,1.65,2.92,0.55,2.38,160.25,1.98,3.2,1,2.2,173.62
2017,1,13,88.18,1.54,2.88,0.4,2.48,109.44,1.86,3.35,0.54,2.81,111.12
2017,1,14,88.31,1.61,3.27,0.52,2.74,96,1.87,3.33,0.46,2.87,97.19
2017,1,15,88.37,1.55,3.17,0.26,2.92,116.25,1.9,3.5,0.47,3.03,132.81
2017,1,16,88.24,1.42,2.72,0.1,2.62,109.31,1.76,2.97,0.33,2.64,110.25
2017,1,17,88.36,1.66,2.93,0.2,2.73,96.19,2.04,3.03,0.18,2.84,98.31
2017,1,18,88.64,1.73,3.26,0.58,2.69,102.56,2.05,3.34,0.8,2.53,106.75
2017,1,19,88.62,1.61,3.05,0.52,2.53,106.62,1.99,3.26,0.87,2.39,110.94
2017,1,20,88.57,1.89,3.45,0.52,2.93,100.44,2.3,3.62,0.66,2.97,103.31
2017,1,21,88.64,1.66,3.08,0.36,2.72,97.81,2,2.97,0.25,2.72,99.56
2017,1,22,88.66,1.48,3.18,0.24,2.93,102.94,1.71,3.42,0.11,3.31,108.12
2017,1,23,88.55,1.62,3.06,0.2,2.88,106.25,1.89,2.94,0.45,2.48,110.5
2017,1,24,88.68,1.77,3.27,0.52,2.74,107.94,2,3.15,0.53,2.62,109.56
2017,1,25,88.79,1.72,3.47,0.76,2.71,84.5,1.89,3.32,0.88,2.44,84.31
2017,1,26,88.69,1.47,3.26,0.12,3.13,99.25,1.58,3.1,0.07,3.03,134.56
2017,1,27,88.49,1.48,3.74,0.3,3.45,145.81,1.88,4.16,0.39,3.78,144.62
2017,1,28,88.26,2.28,4.71,0.55,4.16,182.19,3.05,5.5,0.57,4.93,211.62
2017,1,29,88.42,1.7,3.4,0.43,2.98,129.31,1.86,3.11,0.62,2.49,144.12
2017,1,30,88.31,1.59,3.71,0.37,3.34,125.19,1.87,3.85,0.51,3.35,139
2017,1,31,88.23,1.7,3.53,0.39,3.13,131.19,2.06,3.8,0.52,3.28,130.88
