YEAR,DOY,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WD2M,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,GWETPROF,GWETROOT,GWETTOP
2017,1,7.32,70.56,0,88.53,0.75,1.08,0.26,0.82,84.5,1.58,2.28,0.48,1.79,86.19,0.57,0.59,0.6
2017,2,6.77,64.81,0.02,88.53,0.83,1.15,0.28,0.87,90.44,1.7,2.36,0.4,1.96,92.19,0.57,0.59,0.59
2017,3,6.53,61.88,0.68,88.43,0.88,1.19,0.34,0.86,128.62,1.89,3.02,0.76,2.26,130,0.57,0.59,0.59
2017,4,6.29,62.69,0.01,88.3,0.83,1.12,0.38,0.73,115.44,1.91,2.88,0.63,2.24,113.81,0.57,0.59,0.59
2017,5,5.98,62.62,0.49,88.25,0.79,0.99,0.3,0.69,109.94,1.73,2.65,0.68,1.97,127.81,0.56,0.59,0.59
2017,6,5.74,60.44,0.02,88.22,0.83,1.17,0.13,1.03,106.12,1.75,3.13,0.35,2.78,108.12,0.56,0.59,0.59
2017,7,5.62,58.06,0,88.09,0.84,1.22,0.27,0.95,97.69,1.73,3.2,0.44,2.77,100.25,0.56,0.59,0.58
2017,8,5.37,57.06,0,88.13,0.86,1.19,0.2,0.99,101.25,1.83,3.16,0.39,2.76,103.12,0.55,0.58,0.58
2017,9,5.43,57.88,0,88.1,0.86,1.2,0.04,1.16,105.06,1.79,3.09,0.09,2.99,118.06,0.55,0.58,0.57
2017,10,6.23,70.12,0.28,88.08,0.81,1.22,0.12,1.09,112.62,1.7,2.39,0.41,1.98,125.88,0.55,0.58,0.57
2017,11,5.8,67.31,0.06,88.09,0.75,1.37,0.16,1.2,147.06,1.72,3.48,0.65,2.84,145.81,0.55,0.57,0.57
2017,12,4.15,51.44,0,88.11,0.79,1.15,0.2,0.95,119.38,1.65,2.92,0.55,2.38,160.25,0.55,0.57,0.56
2017,13,3.3,40.88,0,88.18,0.77,1.13,0.12,1.01,109.38,1.54,2.88,0.4,2.48,109.44,0.55,0.57,0.56
2017,14,3.48,41.31,0,88.31,0.8,1.27,0.25,1.02,92.5,1.61,3.27,0.52,2.74,96,0.55,0.56,0.55
2017,15,3.91,40.81,0,88.37,0.81,1.34,0.07,1.27,117.38,1.55,3.17,0.26,2.92,116.25,0.54,0.56,0.55
2017,16,4.27,43.88,0,88.24,0.69,1.02,0.03,0.99,103.88,1.42,2.72,0.1,2.62,109.31,0.54,0.56,0.55
2017,17,4.46,46.88,0,88.36,0.83,1.14,0.14,1,92.88,1.66,2.93,0.2,2.73,96.19,0.54,0.55,0.55
2017,18,4.76,46.44,0,88.64,0.91,1.36,0.38,0.98,101.19,1.73,3.26,0.58,2.69,102.56,0.54,0.55,0.55
2017,19,5,46.31,0,88.62,0.82,1.26,0.34,0.92,103.88,1.61,3.05,0.52,2.53,106.62,0.53,0.55,0.54
2017,20,4.88,45.88,0,88.57,0.97,1.45,0.33,1.12,97.94,1.89,3.45,0.52,2.93,100.44,0.53,0.55,0.54
2017,21,5.31,47.81,0,88.64,0.84,1.36,0.2,1.16,94.06,1.66,3.08,0.36,2.72,97.81,0.53,0.55,0.53
2017,22,5.19,43.94,0,88.66,0.8,1.45,0.23,1.22,101.06,1.48,3.18,0.24,2.93,102.94,0.52,0.55,0.53
2017,23,4.76,42.56,0,88.55,0.85,1.32,0.12,1.2,103.5,1.62,3.06,0.2,2.88,106.25,0.52,0.54,0.52
2017,24,5.13,43.44,0,88.68,0.98,1.52,0.27,1.25,106.19,1.77,3.27,0.52,2.74,107.94,0.52,0.54,0.52
2017,25,5.86,45.5,0,88.79,0.95,1.66,0.39,1.27,83.75,1.72,3.47,0.76,2.71,84.5,0.52,0.53,0.52
2017,26,6.29,47.31,0,88.69,0.79,1.47,0.09,1.38,98.12,1.47,3.26,0.12,3.13,99.25,0.52,0.53,0.52
2017,27,6.77,55.44,0.37,88.49,0.72,1.53,0.21,1.32,146.75,1.48,3.74,0.3,3.45,145.81,0.52,0.53,0.52
2017,28,7.2,69.75,1.26,88.26,1.12,2.21,0.26,1.95,170.44,2.28,4.71,0.55,4.16,182.19,0.52,0.53,0.52
2017,29,5.74,53.88,0.23,88.42,0.9,1.56,0.27,1.28,144.81,1.7,3.4,0.43,2.98,129.31,0.51,0.53,0.52
2017,30,6.47,60.44,0,88.31,0.77,1.61,0.09,1.52,124,1.59,3.71,0.37,3.34,125.19,0.51,0.52,0.51
2017,31,6.35,61.12,0,88.23,0.82,1.53,0.16,1.38,131.81,1.7,3.53,0.39,3.13,131.19,0.51,0.52,0.51
2017,32,5.98,59.44,0,88.42,0.98,1.55,0.28,1.27,127.06,1.99,3.64,0.45,3.19,127.69,0.51,0.52,0.51
2017,33,5.98,58.06,0,88.58,0.89,1.6,0.2,1.41,110.75,1.83,3.89,0.27,3.62,108.06,0.5,0.52,0.5
2017,34,5.43,48.38,0,88.51,0.88,1.7,0.18,1.52,96.62,1.7,3.69,0.3,3.39,98.06,0.5,0.52,0.5
2017,35,6.1,47.94,0,88.48,0.91,1.69,0.3,1.38,108.44,1.66,3.55,0.54,3.01,108.94,0.5,0.52,0.49
2017,36,6.84,49.31,0,88.35,0.88,1.59,0.15,1.45,107.69,1.61,3.35,0.16,3.19,108.25,0.5,0.51,0.49
2017,37,6.29,49.94,0,88.14,1.03,1.88,0.46,1.42,142.75,1.98,3.91,0.61,3.3,141.31,0.49,0.51,0.48
2017,38,6.23,53.69,0,88.1,1,2.04,0.27,1.77,124.44,2.01,4.46,0.47,3.99,122.75,0.49,0.51,0.48
2017,39,5.98,51.25,0,88.28,0.93,1.73,0.24,1.48,112.31,1.81,3.84,0.37,3.47,111.81,0.49,0.5,0.48
2017,40,5.13,42.19,0,88.18,0.95,1.8,0.16,1.63,106.69,1.86,3.87,0.4,3.47,108,0.48,0.5,0.48
2017,41,4.58,39.88,0,88.15,0.95,2.03,0.31,1.72,105.12,1.94,4.25,0.5,3.75,117.75,0.48,0.5,0.48
2017,42,4.15,36.12,0,88.45,1.13,1.92,0.25,1.67,115,2.11,3.99,0.4,3.59,113.5,0.48,0.49,0.47
2017,43,4.09,36,0,88.66,1.08,1.82,0.17,1.64,102.75,2.09,3.89,0.29,3.6,104.19,0.48,0.49,0.47
