Monthly rainfall(in mm) trends for Darjiling from 01-Jan-2017 to 30-Nov-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jan-2017",16.9,4.35
"Feb-2017",14,9.13
"Mar-2017",39.7,86.24
"Apr-2017",82.4,154.68
"May-2017",188.2,297.26
"Jun-2017",507.5,660.43
"Jul-2017",766.3,716.92
"Aug-2017",555.5,887.92
"Sep-2017",424.2,602.27
"Oct-2017",125.3,96.9
"Nov-2017",9.9,6.27
"Dec-2017",3.6,0
"Jan-2018",16.9,0.34
"Feb-2018",14,9.97
"Mar-2018",39.7,59.72
"Apr-2018",82.4,144.93
"May-2018",188.2,388.12
"Jun-2018",507.5,595.96
"Jul-2018",766.3,698.25
"Aug-2018",555.5,647.29
"Sep-2018",424.2,818.61
"Oct-2018",125.3,102.22
"Nov-2018",9.9,4.44
"Dec-2018",3.6,8.4
"Jan-2019",16.9,0.7
"Feb-2019",14,30.8
"Mar-2019",39.7,74.82
"Apr-2019",82.4,131.87
"May-2019",188.2,177.37
"Jun-2019",507.5,499.14
"Jul-2019",766.3,1064.96
"Aug-2019",555.5,337.53
"Sep-2019",424.2,672.11
"Oct-2019",125.3,140.93
"Nov-2019",9.9,41.41
"Dec-2019",3.6,7.81
"Jan-2020",16.9,16.31
"Feb-2020",14,40.01
"Mar-2020",39.7,58.71
"Apr-2020",82.4,143.76
"May-2020",188.2,258.72
"Jun-2020",507.5,725.23
"Jul-2020",766.3,664.55
"Aug-2020",555.5,553.34
"Sep-2020",424.2,819.53
"Oct-2020",125.3,108.65
"Nov-2020",9.9,9.84
"Dec-2020",3.6,3.9
"Jan-2021",16.9,5.17
"Feb-2021",14,13.16
"Mar-2021",39.7,44.96
"Apr-2021",82.4,91.08
"May-2021",188.2,265.61
"Jun-2021",507.5,529.75
"Jul-2021",766.3,538.84
"Aug-2021",555.5,983.49
"Sep-2021",424.2,406.33
"Oct-2021",125.3,337.33
"Nov-2021",9.9,7.36
"Dec-2021",3.6,6.13
"Jan-2022",16.9,11.02
"Feb-2022",14,39.21
"Mar-2022",39.7,29.57
"Apr-2022",82.4,153.79
"May-2022",188.2,360.9
"Jun-2022",507.5,1028.93
"Jul-2022",766.3,742.31
"Aug-2022",555.5,554.33
"Sep-2022",424.2,646.7
"Oct-2022",125.3,235.65
"Nov-2022",9.9,2.35
"Dec-2022",3.6,1.57
"Jan-2023",0,0.02
"Feb-2023",0,28.32
"Mar-2023",0,134.79
"Apr-2023",0,104.45
"May-2023",0,243.23
"Jun-2023",507.5,683.68
"Jul-2023",766.3,754.95
"Aug-2023",555.5,834.27
"Sep-2023",424.2,355.57
"Oct-2023",125.3,194.85
"Nov-2023",9.9,0.76
