Monthly rainfall(in mm) trends for Darjiling from 01-Jun-2018 to 31-Jul-2021

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jun-2018",507.5,190.66
"Jul-2018",766.3,183.49
"Aug-2018",555.5,271.09
"Sep-2018",424.2,179.04
"Oct-2018",125.3,9.75
"Nov-2018",9.9,0.01
"Dec-2018",3.6,7.96
"Jan-2019",16.9,0.4
"Feb-2019",14,28.23
"Mar-2019",39.7,23.14
"Apr-2019",82.4,95.11
"May-2019",188.2,69.29
"Jun-2019",507.5,125.41
"Jul-2019",766.3,469.67
"Aug-2019",555.5,223.96
"Sep-2019",424.2,288.92
"Oct-2019",125.3,33.72
"Nov-2019",9.9,0.95
"Dec-2019",3.6,2.44
"Jan-2020",16.9,2.89
"Feb-2020",14,20.28
"Mar-2020",39.7,42.64
"Apr-2020",82.4,228.67
"May-2020",188.2,149.61
"Jun-2020",507.5,211.46
"Jul-2020",766.3,155.25
"Aug-2020",555.5,207.96
"Sep-2020",424.2,375.4
"Oct-2020",125.3,104.74
"Nov-2020",9.9,9.57
"Dec-2020",3.6,3.12
"Jan-2021",0,16.77
"Feb-2021",0,12.76
"Mar-2021",0,30.01
"Apr-2021",0,112.58
"May-2021",0,316.99
"Jun-2021",507.5,463.37
"Jul-2021",766.3,355.25
