Dates,NORMAL (mm) ,ACTUAL (mm) 
Jun-18,507.5,190.66
Jul-18,766.3,183.49
Aug-18,555.5,271.09
Sep-18,424.2,179.04
Oct-18,125.3,9.75
Nov-18,9.9,0.01
Dec-18,3.6,7.96
Jan-19,16.9,0.4
Feb-19,14,28.23
Mar-19,39.7,23.14
Apr-19,82.4,95.11
May-19,188.2,69.29
Jun-19,507.5,125.41
Jul-19,766.3,469.67
Aug-19,555.5,223.96
Sep-19,424.2,288.92
Oct-19,125.3,33.72
Nov-19,9.9,0.95
Dec-19,3.6,2.44
Jan-20,16.9,2.89
Feb-20,14,20.28
Mar-20,39.7,42.64
Apr-20,82.4,228.67
May-20,188.2,149.61
Jun-20,507.5,211.46
Jul-20,766.3,155.25
Aug-20,555.5,207.96
Sep-20,424.2,375.4
Oct-20,125.3,104.74
Nov-20,9.9,9.57
Dec-20,3.6,3.12
Jan-21,0,16.77
Feb-21,0,12.76
Mar-21,0,30.01
Apr-21,0,112.58
May-21,0,316.99
Jun-21,507.5,463.37
Jul-21,766.3,355.25
